1991, 01, 06, 14, 6.5956E+00
1991, 01, 06, 15, 6.3521E+00
1991, 01, 06, 16, 6.1071E+00
1991, 01, 06, 17, 5.8376E+00
1991, 01, 06, 18, 5.5671E+00
1991, 01, 06, 19, 5.2976E+00
1991, 01, 06, 20, 5.2646E+00
1991, 01, 06, 21, 5.2306E+00
1991, 01, 06, 22, 5.1971E+00
1991, 01, 06, 23, 5.0916E+00
1991, 01, 06, 24, 4.9876E+00
1991, 01, 07, 01, 4.8816E+00
1991, 01, 07, 02, 4.6986E+00
1991, 01, 07, 03, 4.5116E+00
1991, 01, 07, 04, 4.3286E+00
1991, 01, 07, 05, 4.1046E+00
1991, 01, 07, 06, 3.8826E+00
1991, 01, 07, 07, 3.6606E+00
1991, 01, 07, 08, 3.4016E+00
1991, 01, 07, 09, 3.1391E+00
1991, 01, 07, 10, 2.8801E+00
1991, 01, 07, 11, 2.9361E+00
1991, 01, 07, 12, 2.9946E+00
1991, 01, 07, 13, 3.0506E+00
1991, 01, 07, 14, 2.9996E+00
1991, 01, 07, 15, 2.9481E+00
1991, 01, 07, 16, 2.8956E+00
1991, 01, 07, 17, 2.5416E+00
1991, 01, 07, 18, 2.1891E+00
1991, 01, 07, 19, 1.8361E+00
1991, 01, 07, 20, 1.0681E+00
1991, 01, 07, 21, 3.0357E-01
1991, 01, 07, 22, -4.6393E-01
1991, 01, 07, 23, -8.3543E-01
1991, 01, 07, 24, -1.2079E+00
1991, 01, 08, 01, -1.5784E+00
1991, 01, 08, 02, -2.0324E+00
1991, 01, 08, 03, -2.4849E+00
1991, 01, 08, 04, -2.9369E+00
1991, 01, 08, 05, -3.0684E+00
1991, 01, 08, 06, -3.1974E+00
1991, 01, 08, 07, -3.3264E+00
1991, 01, 08, 08, -2.8204E+00
1991, 01, 08, 09, -2.3119E+00
1991, 01, 08, 10, -1.8039E+00
1991, 01, 08, 11, -1.1734E+00
1991, 01, 08, 12, -5.4293E-01
1991, 01, 08, 13, 8.8074E-02
1991, 01, 08, 14, 4.1707E-01
1991, 01, 08, 15, 7.4557E-01
1991, 01, 08, 16, 1.0731E+00
1991, 01, 08, 17, 9.7757E-01
1991, 01, 08, 18, 8.8007E-01
1991, 01, 08, 19, 7.8507E-01
1991, 01, 08, 20, 5.7207E-01
1991, 01, 08, 21, 3.5857E-01
1991, 01, 08, 22, 1.4507E-01
1991, 01, 08, 23, 2.0657E-01
1991, 01, 08, 24, 2.7007E-01
1991, 01, 09, 01, 3.3057E-01
